WBS_ID,Parent_WBS_ID,Giai_doan,Cong_viec,Mo_ta_chi_tiet,Dau_ra_mong_doi,Vai_tro_phu_trach,Phu_thuoc,Uoc_tinh_ngay_cong,Do_uu_tien
8,,Phát triển backend gợi ý phim,Xây dựng recommendation service,Triển khai logic gợi ý phim cá nhân hóa.,API recommendation hoạt động,Backend Dev,"6,7,3.6",3,Cao
8.1,8,Phát triển backend gợi ý phim,Thu thập dữ liệu đầu vào,"Lấy genre yêu thích, watch logs, likes, ratings, movie genres, popularity score.",Bộ dữ liệu đầu vào,Backend Dev,8,0.5,Cao
8.2,8,Phát triển backend gợi ý phim,Xây dựng thuật toán score,Thiết kế trọng số cho từng tín hiệu hành vi và thể loại.,Hàm tính điểm recommendation,Backend Dev,8.1,1,Cao
8.3,8,Phát triển backend gợi ý phim,Triển khai fallback logic,"Nếu user mới/chưa đủ dữ liệu thì trả về phim phổ biến, top rating hoặc theo thể loại nổi bật.",Fallback recommendation,Backend Dev,8.2,0.5,Cao
8.4,8,Phát triển backend gợi ý phim,Tối ưu truy vấn gợi ý,"Giảm số lượng query, cache nếu cần, tránh N+1.",Recommendation tối ưu cơ bản,Backend Dev,8.2,1,Trung bình
9,,Phát triển backend admin,Xây dựng các API quản trị,Triển khai CRUD và thống kê cho admin.,API admin hoàn chỉnh,Backend Dev,"5,4",6,Cao
9.1,9,Phát triển backend admin,Admin quản lý phim,"CRUD phim, cập nhật poster, trạng thái, thời lượng, mô tả, loại phim lẻ/bộ.",API movie admin,Backend Dev,4.5,1.5,Cao
9.2,9,Phát triển backend admin,Admin quản lý thể loại,CRUD thể loại.,API genre admin,Backend Dev,4.3,0.5,Cao
9.3,9,Phát triển backend admin,Admin gán thể loại cho phim,API cập nhật quan hệ movie-genre.,API movie-genre admin,Backend Dev,4.6,0.5,Cao
9.4,9,Phát triển backend admin,Admin quản lý người dùng,"API xem danh sách user, khóa/mở khóa tài khoản, reset thông tin cơ bản nếu cần.",API user admin,Backend Dev,4.2,1,Cao
9.5,9,Phát triển backend admin,Admin quản lý lịch chiếu,CRUD lịch chiếu/thời gian đăng phim.,API schedules admin,Backend Dev,4.17,0.5,Cao
9.6,9,Phát triển backend admin,Admin quản lý tập phim,CRUD episodes cho phim bộ.,API episodes admin,Backend Dev,4.7,0.75,Cao
9.7,9,Phát triển backend admin,Admin quản lý diễn viên và đạo diễn,CRUD actors/directors và gán cho phim.,API actors/directors admin,Backend Dev,4.8-4.11,1,Trung bình
9.8,9,Phát triển backend admin,Admin thống kê xu hướng phim,"API thống kê lượt xem, lượt thích, rating, top thể loại, top phim.",API dashboard admin,Backend Dev,"6.4,7.1,7.4",1.25,Cao
10,,Phát triển frontend nền tảng,Xây dựng khung frontend,"Thiết lập giao diện gốc, theme, state, gọi API, auth guard.",Khung frontend sẵn sàng,Frontend Dev,"2.3,3.3,3.4",3,Cao
10.1,10,Phát triển frontend nền tảng,Thiết kế layout người dùng,"Header, footer, navbar, trang chủ, responsive base.",Layout user,Frontend Dev,10,1,Cao
10.2,10,Phát triển frontend nền tảng,Thiết kế layout admin,"Sidebar admin, dashboard shell, guard phân quyền.",Layout admin,Frontend Dev,10,1,Cao
10.3,10,Phát triển frontend nền tảng,Thiết lập gọi API,"Tạo HTTP client, interceptors, xử lý auth token, refresh session nếu có.",API client dùng chung,Frontend Dev,10,0.75,Cao
10.4,10,Phát triển frontend nền tảng,Thiết lập state management,"Quản lý auth state, user profile, filters, xem tiếp.",Store/context cơ bản,Frontend Dev,10.3,0.75,Trung bình
10.5,10,Phát triển frontend nền tảng,Tạo thư viện UI dùng chung,"Buttons, forms, dialogs, table, pagination, cards, rating stars, video player wrapper.",Shared components,Frontend Dev,10,1,Cao
11,,Phát triển frontend người dùng,Xây dựng giao diện cho user/public,Triển khai các màn hình phía người dùng.,Luồng người dùng hoàn chỉnh,Frontend Dev,"10,6,7,8",8,Cao
11.1,11,Phát triển frontend người dùng,Trang đăng ký/đăng nhập,"Form đăng ký, đăng nhập, validate client, thông báo lỗi.",Màn auth,Frontend Dev,6.1,1,Cao
11.2,11,Phát triển frontend người dùng,Trang chủ,"Banner, phim nổi bật, phim đang chiếu, top phim, gợi ý phim.",Home page,Frontend Dev,"6.2,8",1.5,Cao
11.3,11,Phát triển frontend người dùng,Trang thể loại,Danh sách thể loại và phim theo thể loại.,Genre pages,Frontend Dev,6.2,0.75,Cao
11.4,11,Phát triển frontend người dùng,Trang chi tiết phim,"Hiển thị mô tả, poster, rating, comments, actors, directors, lịch chiếu.",Movie detail page,Frontend Dev,"6.2,7.3,7.4",1.5,Cao
11.5,11,Phát triển frontend người dùng,Trang xem phim,"Video player, chọn tập phim, lưu tiến độ, continue watching.",Watch page,Frontend Dev,6.4,1.5,Cao
11.6,11,Phát triển frontend người dùng,Trang lịch sử xem,"Danh sách phim đã xem, thời điểm xem, tiến độ.",History page,Frontend Dev,6.4,0.75,Cao
11.7,11,Phát triển frontend người dùng,Trang theo dõi / phim đã lưu,"Danh sách watchlist, xóa khỏi danh sách.",Watchlist page,Frontend Dev,7.2,0.5,Cao
11.8,11,Phát triển frontend người dùng,Trang tài khoản,Cập nhật thông tin tài khoản và sở thích thể loại.,Account page,Frontend Dev,"6.1,7.5",0.75,Cao
11.9,11,Phát triển frontend người dùng,Tìm kiếm và bộ lọc,"Thanh tìm kiếm, trang kết quả, lọc theo thể loại/trạng thái/rating.",Search UI,Frontend Dev,6.3,0.75,Cao
11.10,11,Phát triển frontend người dùng,Tương tác phim,"UI like, rating, comments, lưu phim.",Interaction UI,Frontend Dev,"7.1,7.2,7.3,7.4",1,Cao
12,,Phát triển frontend admin,Xây dựng giao diện admin,Triển khai trang quản trị cho toàn bộ chức năng admin.,Luồng admin hoàn chỉnh,Frontend Dev,"10.2,9",6,Cao
12.1,12,Phát triển frontend admin,Dashboard thống kê,"Hiển thị top phim, top thể loại, lượt xem, rating tổng quan.",Admin dashboard,Frontend Dev,9.8,1,Cao
12.2,12,Phát triển frontend admin,Trang quản lý phim,"Bảng danh sách phim, form thêm/sửa, upload poster, gán thể loại.",Admin movie page,Frontend Dev,"9.1,9.3",1.5,Cao
12.3,12,Phát triển frontend admin,Trang quản lý thể loại,"Danh sách, thêm, sửa, xóa thể loại.",Admin genre page,Frontend Dev,9.2,0.75,Cao
12.4,12,Phát triển frontend admin,Trang quản lý người dùng,"Danh sách user, khóa/mở khóa, xem vai trò.",Admin user page,Frontend Dev,9.4,0.75,Cao
12.5,12,Phát triển frontend admin,Trang quản lý lịch chiếu,Form thêm/sửa lịch chiếu.,Admin schedule page,Frontend Dev,9.5,0.5,Trung bình
12.6,12,Phát triển frontend admin,Trang quản lý tập phim,CRUD episodes cho phim bộ.,Admin episode page,Frontend Dev,9.6,0.75,Trung bình
12.7,12,Phát triển frontend admin,Trang quản lý diễn viên/đạo diễn,CRUD actors/directors và liên kết phim.,Admin actor/director page,Frontend Dev,9.7,0.75,Trung bình
13,,Tích hợp và hoàn thiện,Tích hợp fullstack,"Kết nối frontend với backend và database, xử lý bug tích hợp.",Hệ thống chạy end-to-end,Toàn đội,"6,7,8,9,11,12",4,Cao
13.1,13,Tích hợp và hoàn thiện,Kết nối auth end-to-end,Đảm bảo flow đăng ký/đăng nhập/đăng xuất/guard hoạt động xuyên suốt.,Auth flow hoàn chỉnh,Frontend Dev/Backend Dev,"6.1,11.1",0.75,Cao
13.2,13,Tích hợp và hoàn thiện,Kết nối movie pages,"Tất cả trang danh sách, chi tiết, xem phim, lịch sử, watchlist hoạt động với API thật.",Movie flow hoàn chỉnh,Frontend Dev/Backend Dev,"6.2,6.4,7.2,11",1.5,Cao
13.3,13,Tích hợp và hoàn thiện,Kết nối recommendation,"Kiểm tra API gợi ý, fallback, hiển thị đúng trên trang chủ/trang đề xuất.",Recommendation flow hoàn chỉnh,Frontend Dev/Backend Dev,"8,11.2",0.75,Cao
13.4,13,Tích hợp và hoàn thiện,Kết nối admin,Tích hợp các trang CRUD admin với API.,Admin flow hoàn chỉnh,Frontend Dev/Backend Dev,"9,12",1,Cao
14,,Kiểm thử,Kiểm thử hệ thống,"Thực hiện kiểm thử đơn vị, tích hợp, giao diện và nghiệp vụ.",Báo cáo kiểm thử,QA/Toàn đội,13,6,Cao
14.1,14,Kiểm thử,Viết test backend,"Unit test service quan trọng: auth, rating, recommendation.",Bộ test backend,Backend Dev,"6,7,8",1.5,Cao
14.2,14,Kiểm thử,Viết test frontend,"Test component/form chính, kiểm tra validate và call API mock.",Bộ test frontend,Frontend Dev,"11,12",1,Trung bình
14.3,14,Kiểm thử,Kiểm thử API bằng Postman/Bruno,Tạo collection kiểm thử các endpoint chính.,API test collection,QA/Backend Dev,13,1,Cao
14.4,14,Kiểm thử,Kiểm thử nghiệp vụ theo Use Case,Chạy test case theo 20 use case đã đặc tả.,Báo cáo UAT nội bộ,QA/BA,13,1.5,Cao
14.5,14,Kiểm thử,Kiểm thử hiệu năng cơ bản,"Đo phản hồi tìm kiếm < 2 giây, thử nhiều người dùng truy cập đồng thời ở mức mô phỏng.",Báo cáo hiệu năng cơ bản,QA/Backend Dev,13,1,Trung bình
14.6,14,Kiểm thử,Sửa lỗi sau kiểm thử,Fix bug backend/frontend/database sau vòng test.,Danh sách bug đã xử lý,Toàn đội,14.1-14.5,1,Cao
15,,Triển khai,Đóng gói và triển khai hệ thống,Chuẩn bị môi trường staging/production.,Phiên bản triển khai được,DevOps/Toàn đội,14,3,Cao
15.1,15,Triển khai,Chuẩn bị môi trường server,"Cấu hình VPS/server, domain, SSL, reverse proxy, MySQL production.",Hạ tầng sẵn sàng,DevOps,15,1,Cao
15.2,15,Triển khai,Build và deploy backend,"Build jar, cấu hình profile prod, log, biến môi trường.",Backend production,Backend Dev/DevOps,15.1,0.75,Cao
15.3,15,Triển khai,Build và deploy frontend,"Build Next.js production, cấu hình env, image optimization, domain.",Frontend production,Frontend Dev/DevOps,15.1,0.75,Cao
15.4,15,Triển khai,Chạy migration và seed production,Áp dụng Flyway và tạo tài khoản admin ban đầu.,Database production,Backend Dev/DBA,15.1,0.5,Cao
15.5,15,Triển khai,Smoke test sau triển khai,Kiểm tra các luồng chính sau deploy.,Biên bản nghiệm thu nội bộ,QA/Toàn đội,"15.2,15.3,15.4",0.5,Cao
16,,Tài liệu và bàn giao,Hoàn thiện hồ sơ dự án,Chuẩn bị tài liệu phục vụ đồ án và vận hành.,Bộ tài liệu bàn giao,Toàn đội,15,3,Cao
16.1,16,Tài liệu và bàn giao,Cập nhật tài liệu SRS cuối cùng,Đồng bộ SRS theo phiên bản đã triển khai.,SRS final,BA,15,0.5,Cao
16.2,16,Tài liệu và bàn giao,Viết tài liệu hướng dẫn cài đặt,Cách chạy backend/frontend/database trên máy mới.,Installation guide,Tech Lead,15,0.5,Cao
16.3,16,Tài liệu và bàn giao,Viết tài liệu hướng dẫn sử dụng,Hướng dẫn user và admin sử dụng hệ thống.,User manual,BA/Frontend Dev,15,0.75,Trung bình
16.4,16,Tài liệu và bàn giao,Chuẩn bị slide/demo,"Chuẩn bị kịch bản demo, dữ liệu demo, video nếu cần.",Bộ demo bảo vệ đồ án,Toàn đội,15,0.75,Cao
16.5,16,Tài liệu và bàn giao,Tổng kết và rút kinh nghiệm,"Đánh giá phạm vi hoàn thành, bug còn lại, hướng phát triển tiếp theo.",Biên bản tổng kết,PM/Toàn đội,16.1-16.4,0.5,Thấp
17,,Hỗ trợ vibe coding,Chuẩn bị tài nguyên hỗ trợ code nhanh,Thiết lập các tài nguyên để AI/code assistant hỗ trợ tốt hơn trong quá trình lập trình.,Bộ tài nguyên vibe coding,Tech Lead,"3,5,10",2.5,Trung bình
17.1,17,Hỗ trợ vibe coding,Tạo file AGENTS.md,"Mô tả kiến trúc, quy ước đặt tên, cách thêm module mới, checklist code review.",AGENTS.md,Tech Lead,17,0.5,Trung bình
17.2,17,Hỗ trợ vibe coding,Tạo prompt/context cho AI,"Viết prompt theo feature: auth, movies, admin, recommendation.",Prompt templates,Tech Lead,17,0.5,Trung bình
17.3,17,Hỗ trợ vibe coding,Chuẩn hóa OpenAPI và DTO,Đảm bảo backend contract rõ ràng để AI/frontend code bám theo.,OpenAPI contract ổn định,Backend Dev,"5.5,17",0.75,Trung bình
17.4,17,Hỗ trợ vibe coding,Tạo seed data phong phú,Sinh dữ liệu demo để AI/manual test dễ kiểm tra các flow thực tế.,Seed demo nâng cao,Backend Dev,4.19,0.75,Trung bình
